no,ci,cr,ct,pn,pl,lus,wc,bf,esd, tcag , afa , gfa , bh ,nb,tfn,nfag,nfbg,ft,dsc,dsho, ca ,dp, ac ,codr,accodr
188,DTU,Takele Tadele B.C,CDSCO,G+2 dormitory Do T1,Debre Tabor,Urban,Temprate,dormitory,No,626.85,297.65,892.96,11.7,1,3,2,0,Open,12/06/2006 E.C,12/02/2006 E.C,8324579.37,16/03/2008 E.C,8686434.21,270.00,764.00
189,DTU,Takele Tadele B.C,CDSCO,G+2 administration building,Debre Tabor,Urban,Temprate,office,No,361.82,245.5,735.6,10.09,1,3,2,0,Open,12/06/2006 E.C,12/02/2006 E.C,3831235.21,16/03/2008 E.C,3997772.27,270.00,764.00
190,DTU,Haile H/Slassie B.C,Ultimate Plan PLC,Dormitory Do-CYT Building,Debre Tabor,Urban,Temprate,Dormitory,No,"1,290.03",615.1,"1,845.29",10.79,1,3,2,0,Open,25/06/2005 E.C,30/06/2005 E.C,5738325.52,11/08/2008 E.C,5738325.52,240.00,1137.00
191,DTU,Takele Tadele B.C,Ultimate Plan PLC,Dormitory Do-T1 Building,Debre Tabor,Urban,Temprate,Dormitory,No,626.85,297.65,892.96,11.7,1,3,2,0,Limited,10/06/2007 E.C,11/06/2007 E.C,7988125.37,08/06/2008 E.C,8828964.96,180.00,362.00
192,DTU,Agegn Demissie B.C,MH Engineering PLC,G+1 class room CL-D building,Debre Tabor,Urban,Temprate,Class Room,No,"1,769.42",279.76,559.52,9.12,1,2,1,0,Open,12/02/2006 E.C,15/02/2006 E.C,6998699.00,30/02/2008 E.C,6998699.00,300.00,745.00
193,DTU,Agegn Demissie B.C,MH Engineering PLC,G+2 laboratory cyt building,Debre Tabor,Urban,Temprate,laboratory,No,"1,769.69",647,"1,941.00",13.37,1,3,2,0,Open,12/02/2006 E.C,15/02/2006 E.C,15463935.12,30/02/2008 E.C,15463935.12,300.00,745.00
194,DTU,Assefa Alemu B.C,Ultimate Plan PLC,G+4 Dormitory and Site Work,Debre Tabor,Urban,Temprate,Dormitory,No,"1,342.75",564.79,"2,823.96",20.63,1,5,4,0,Open,09/07/2008 E.C,20/07/2008 E.C,27063736.18,23/12/2009 E.C,28131762.90,390.00,518.00
195,DTU,Habtie tilahun B.C,Ultimate Plan PLC,Laboratory CYT Building,Debre Tabor,Urban,Temprate,Laboratory,No,"1,769.69",647,"1,941.00",13.37,1,3,2,0,Open,26/03/2007 E.C,29/03/2007 E.C,15834840.11,01/03/2008 E.C,16657414.83,240.00,337.00
197,DTU,Habtie tilahun B.C,Ultimate Plan PLC,Student Launge,Debre Tabor,Urban,Temprate,Launge,No,996.5,391.28,391.28,7.21,1,1,0,0,Open,12/06/2006 E.C,15/06/2006 E.C,1319663.93,15/02/2008 E.C,1423171.24,270.00,610.00
198,DTU,Habtie tilahun B.C,Ultimate Plan PLC,G+2 dormitory cyt building,Debre Tabor,Urban,Temprate,dormitory,No,"1,290.03",615.1,"1,845.29",10.79,1,3,2,0,Open,12/06/2006 E.C,15/06/2006 E.C,12747100.93,15/02/2008 E.C,13746914.65,270.00,610.00
199,DTU,Habtie tilahun B.C,Ultimate Plan PLC,lecture hall LH-D1 building,Debre Tabor,Urban,Temprate,class room,No,975.61,365.86,365.86,7.87,1,1,0,0,Open,12/06/2006 E.C,15/06/2006 E.C,2401666.05,15/02/2008 E.C,2590039.76,270.00,610.00
200,DTU,Melese Asmamaw B.C,Ultimate Plan PLC,Dormitory Do-CYT Building,Debre Tabor,Urban,Temprate,Dormitory,No,"1,290.03",205.03,615.1,10.79,1,3,2,0,Open,26/03/2006 E.C,26/03/2006 E.C,12731640.16,21/01/2008 E.C,13045916.68,210.00,665.00
201,DTU,Abay Demissie B.C,Ultimate Plan PLC,Class Room CL-D Building,Debre Tabor,Urban,Temprate,"Class Room, Laboratory",No,"1,769.42",279.76,559.52,9.12,1,2,1,0,Open,27/07/2008 E.C,29/07/2008 E.C,16303332.85,29/01/2011 E.C,25209706.91,365.00,855.00
202,DTU,Abay Demissie B.C,Ultimate Plan PLC,G+2 laboratory cyt building,Debre Tabor,Urban,Temprate,laboratory,No,"1,769.69",647,"1,941.00",13.37,1,3,2,0,Open,27/07/2008 E.C,29/07/2008 E.C,13865233.42,29/01/2011 E.C,21439694.20,365.00,855.00
203,DTU,Dove Construction PLC,MH Engineering PLC,1 Class Room CL-D building,Debre Tabor,Urban,Temprate,Class Room,No,"1,162.66",279.76,559.52,9.12,1,2,1,0,Open,12/02/2006 E.C,15/02/2006 E.C,16931971.44,30/10/2007 E.C,16958769.99,210.00,620.00
204,DTU,Dove Construction PLC,MH Engineering PLC,G+2 seminar SE M1 building,Debre Tabor,Urban,Temprate,seminar,No,756.05,464.86,"1,394.58",11.97,1,3,2,0,Open,12/02/2006 E.C,15/02/2006 E.C,17425951.73,30/10/2007 E.C,17454659.98,210.00,620.00
205,DTU,Abay Demissie B.C,Ultimate Plan PLC,Class Room CL-D1 Building,Debre Tabor,Urban,Temprate,Class Room,No,"1,162.66",279.76,559.52,9.12,1,2,1,0,Open,26/03/2007 E.C,28/03/2007 E.C,17728617.38,04/02/2010 E.C,26850548.34,270.00,1047.00
206,DTU,Dove Construction PLC,MH Engineering PLC,Class Room CL-D building,Debre Tabor,Urban,Temprate,Class Room,No,"1,162.66",279.76,559.52,9.12,1,2,1,0,Limited,29/10/2004 E.C,30/10/2004 E.C,16740315.09,30/10/2007,16876627.41,180.00,1095.00
207,DTU,Dove Construction PLC,MH Engineering PLC,G+2 seminar SE M1 building,Debre Tabor,Urban,Temprate,seminar,No,756.05,464.86,"1,394.58",11.97,1,3,2,0,Limited,29/10/2004 E.C,30/10/2004 E.C,17332997.37,30/10/2008,17481295.76,180.00,1095.00
208,DTU,Keset G.C,Ultimate Plan PLC,Student Launge Building,Debre Tabor,Urban,Temprate,Launge,No,996.5,391.28,391.28,7.21,1,1,0,0,Open,12/06/2006 E.C,16/06/2006 E.C,1299179.71,16/02/2008 E.C,1304639.19,270.00,610.00
209,DTU,Keset G.C,Ultimate Plan PLC,G+1 class room CL-D building,Debre Tabor,Urban,Temprate,class room,No,"1,162.66",279.76,559.52,9.12,1,2,1,0,Open,12/06/2006 E.C,16/06/2006 E.C,6913624.79,16/02/2008 E.C,6942677.59,270.00,610.00
210,DTU,Keset G.C,Ultimate Plan PLC,G+2 seminar SE M1 building,Debre Tabor,Urban,Temprate,seminar,No,756.05,464.86,"1,394.58",11.97,1,3,2,0,Open,12/06/2006 E.C,16/06/2006 E.C,7425951.73,16/02/2008 E.C,7457157.46,270.00,610.00
211,DTU,Keset G.C,Ultimate Plan PLC,G+2 Class Room CL-D1 Building ,Debre Tabor,Urban,Temprate,Class Room,No,"1,769.42",279.5,559,9.12,1,2,1,0,Open,08/07/2006 E.C,10/07/2006 E.C,7988125.35,10/09/2008 E.C,14063600.97,210.00,790.00
212,DTU,Keset G.C,Ultimate Plan PLC,G+1 class room CL-T1 building,Debre Tabor,Urban,Temprate,Class Room,No,574.74,260.5,521,6.77,1,2,1,0,Open,08/07/2006 E.C,10/07/2006 E.C,4859397.93,10/09/2008 E.C,8555278.06,210.00,790.00
213,DTU,Keset G.C,Ultimate Plan PLC,G+2 Dormitory Do-T1 Building,Debre Tabor,Urban,Temprate,Dormitory,No,626.85,297.65,892.9,11.7,1,3,2,0,Open,24/06/2006 E.C,24/06/2006 E.C,5758622.55,16/06/2007 E.C,6201647.50,270.00,358.00
214,DTU,Keset G.C,Ultimate Plan PLC, 2 Washing Basin Building,Debre Tabor,Urban,Temprate,Washing Basin,No,288,144,288,4.1,2,2,0,0,Open,24/06/2006 E.C,24/06/2006 E.C,750435.18,16/06/2007 E.C,808636.60,270.00,358.00
215,DTU,Alemnew Abrha B.C,Ultimate Plan PLC,G+1 Class Room CL-D1 Building,Debre Tabor,Urban,Temprate,Class room,No,"1,769.42",260.51,521,9.12,1,2,1,0,Limited,22/03/2007 E.C,25/03/2007 E.C,6241076.15,15/08/2008 E.C,6395042.49,210.00,595.00
216,DTU,Alemnew Abrha B.C,Ultimate Plan PLC,G+1 class room CLS building,Debre Tabor,Urban,Temprate,Class Room,No,"1,045.48",279.5,559,6.77,1,2,1,0,Limited,22/03/2007 E.C,25/03/2007 E.C,6245076.15,15/08/2008 E.C,6395045.49,210.00,595.00
217,DTU,Alemnew Abrha B.C,Ultimate Plan PLC,G+1 work shop building,Debre Tabor,Urban,Temprate,work shop,No,574.74,231.68,926.72,9.35,2,4,2,0,Limited,22/03/2007 E.C,25/03/2007 E.C,1388150.26,15/08/2008 E.C,1421485.17,210.00,595.00
